OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
19-0000,"Life, Physical, and Social Science Occupations",major,"1,146,110",0.7,34.24,"71,220",0.4,15.67,21.22,29.88,42.85,57.78,"32,600","44,130","62,160","89,120","120,190",,
25-1123,"English Language and Literature Teachers, Postsecondary",detailed,"75,730",1.5,*,"71,210",0.9,*,*,*,*,*,"34,180","45,650","61,990","86,350","121,860",TRUE,
41-4000,"Sales Representatives, Wholesale and Manufacturing",minor,"1,743,560",0.4,34.17,"71,080",0.3,13.58,19.48,28.41,42.00,60.65,"28,240","40,510","59,080","87,370","126,160",,
41-4010,"Sales Representatives, Wholesale and Manufacturing",broad,"1,743,560",0.4,34.17,"71,080",0.3,13.58,19.48,28.41,42.00,60.65,"28,240","40,510","59,080","87,370","126,160",,
51-8013,Power Plant Operators,detailed,"37,510",2.5,34.17,"71,070",0.7,21.12,27.91,34.58,41.02,46.83,"43,930","58,050","71,940","85,320","97,410",,
25-1199,"Postsecondary Teachers, All Other",detailed,"191,220",2.4,*,"71,060",1.2,*,*,*,*,*,"23,100","43,020","63,000","90,250","124,000",TRUE,
29-1140,Registered Nurses,broad,"2,745,910",0.5,34.14,"71,000",0.2,22.29,26.59,32.45,39.66,48.86,"46,360","55,320","67,490","82,490","101,630",,
29-1141,Registered Nurses,detailed,"2,745,910",0.5,34.14,"71,000",0.2,22.29,26.59,32.45,39.66,48.86,"46,360","55,320","67,490","82,490","101,630",,
27-4090,Miscellaneous Media and Communication Equipment Workers,broad,"17,670",6.0,34.10,"70,920",1.1,13.74,22.53,33.94,44.28,54.73,"28,570","46,850","70,590","92,100","113,840",,
27-4099,"Media and Communication Equipment Workers, All Other",detailed,"17,670",6.0,34.10,"70,920",1.1,13.74,22.53,33.94,44.28,54.73,"28,570","46,850","70,590","92,100","113,840",,
13-1000,Business Operations Specialists,minor,"4,424,800",0.3,34.09,"70,900",0.2,17.13,22.90,31.01,41.77,54.56,"35,620","47,640","64,510","86,870","113,490",,
29-2032,Diagnostic Medical Sonographers,detailed,"61,250",1.4,34.08,"70,880",0.6,23.42,27.45,33.16,39.20,46.82,"48,720","57,100","68,970","81,540","97,390",,
15-2090,Miscellaneous Mathematical Science Occupations,broad,"2,700",5.2,34.05,"70,820",2.6,14.04,18.22,28.16,43.09,70.07,"29,210","37,890","58,580","89,630","145,740",,
19-3050,Urban and Regional Planners,broad,"35,480",1.6,33.98,"70,680",0.5,20.64,25.84,32.80,41.06,49.14,"42,940","53,740","68,220","85,400","102,200",,
19-3051,Urban and Regional Planners,detailed,"35,480",1.6,33.98,"70,680",0.5,20.64,25.84,32.80,41.06,49.14,"42,940","53,740","68,220","85,400","102,200",,
15-1134,Web Developers,detailed,"127,070",1.5,33.97,"70,660",0.7,16.71,22.40,31.23,43.00,56.07,"34,770","46,600","64,970","89,430","116,620",,
11-9130,Postmasters and Mail Superintendents,broad,"14,770",0.0,33.92,"70,540",0.1,26.01,29.54,33.96,38.45,42.45,"54,100","61,450","70,640","79,970","88,300",,
11-9131,Postmasters and Mail Superintendents,detailed,"14,770",0.0,33.92,"70,540",0.1,26.01,29.54,33.96,38.45,42.45,"54,100","61,450","70,640","79,970","88,300",,
33-1000,Supervisors of Protective Service Workers,minor,"270,660",0.6,33.91,"70,530",0.7,16.96,22.92,31.76,43.00,54.92,"35,280","47,670","66,060","89,450","114,230",,
27-1014,Multimedia Artists and Animators,detailed,"30,240",5.6,33.80,"70,300",1.5,17.75,22.91,30.76,42.40,54.62,"36,930","47,660","63,970","88,190","113,600",,
25-1122,"Communications Teachers, Postsecondary",detailed,"29,050",1.7,*,"70,290",0.9,*,*,*,*,*,"33,070","46,820","63,410","87,460","119,400",TRUE,
13-1160,Market Research Analysts and Marketing Specialists,broad,"506,420",0.7,33.67,"70,030",0.5,16.12,21.61,29.88,42.26,57.91,"33,530","44,950","62,150","87,900","120,460",,
13-1161,Market Research Analysts and Marketing Specialists,detailed,"506,420",0.7,33.67,"70,030",0.5,16.12,21.61,29.88,42.26,57.91,"33,530","44,950","62,150","87,900","120,460",,
29-2091,Orthotists and Prosthetists,detailed,"7,100",4.5,33.63,"69,960",1.7,16.90,23.01,30.98,40.99,51.71,"35,160","47,870","64,430","85,260","107,550",,
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"4,370",5.9,33.60,"69,880",2.3,15.92,22.08,30.85,40.08,54.39,"33,110","45,930","64,170","83,360","113,140",,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"4,370",5.9,33.60,"69,880",2.3,15.92,22.08,30.85,40.08,54.39,"33,110","45,930","64,170","83,360","113,140",,
27-1021,Commercial and Industrial Designers,detailed,"31,330",4.1,33.57,"69,820",1.0,18.09,24.18,32.28,41.62,50.35,"37,630","50,300","67,130","86,570","104,730",,
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,"30,120",2.3,*,"69,520",1.0,*,*,*,*,*,"34,000","45,630","61,380","82,980","118,530",TRUE,
11-9150,Social and Community Service Managers,broad,"119,770",0.8,33.38,"69,430",0.4,18.64,23.52,30.54,40.47,52.39,"38,770","48,920","63,530","84,180","108,960",,
11-9151,Social and Community Service Managers,detailed,"119,770",0.8,33.38,"69,430",0.4,18.64,23.52,30.54,40.47,52.39,"38,770","48,920","63,530","84,180","108,960",,
19-1010,Agricultural and Food Scientists,broad,"31,700",3.3,33.28,"69,230",1.1,17.55,22.64,30.03,40.25,54.58,"36,500","47,100","62,470","83,730","113,520",,
13-1040,Compliance Officers,broad,"257,010",0.6,33.26,"69,180",0.4,17.98,23.46,31.56,40.67,49.49,"37,390","48,810","65,640","84,600","102,940",,
13-1041,Compliance Officers,detailed,"257,010",0.6,33.26,"69,180",0.4,17.98,23.46,31.56,40.67,49.49,"37,390","48,810","65,640","84,600","102,940",,
27-3043,Writers and Authors,detailed,"43,380",1.9,33.24,"69,130",1.3,14.05,20.38,28.97,40.40,55.06,"29,230","42,380","60,250","84,030","114,530",,
41-3000,"Sales Representatives, Services",minor,"1,808,330",0.5,33.22,"69,100",0.5,12.40,16.84,24.78,38.80,63.52,"25,780","35,020","51,540","80,710","132,120",,
25-1192,"Home Economics Teachers, Postsecondary",detailed,"3,650",3.7,*,"69,090",2.1,*,*,*,*,*,"32,210","45,860","64,950","87,630","116,290",TRUE,
23-1022,"Arbitrators, Mediators, and Conciliators",detailed,"6,380",5.9,33.20,"69,060",4.2,15.60,20.03,27.89,39.94,56.78,"32,440","41,670","58,020","83,070","118,090",,
25-1113,"Social Work Teachers, Postsecondary",detailed,"11,740",2.7,*,"69,030",1.4,*,*,*,*,*,"32,130","46,190","63,390","85,420","113,670",TRUE,
17-3021,Aerospace Engineering and Operations Technicians,detailed,"12,890",8.7,32.99,"68,620",3.5,19.02,24.84,31.82,40.26,47.64,"39,560","51,660","66,180","83,740","99,090",,
17-1012,Landscape Architects,detailed,"19,820",4.9,32.98,"68,600",1.4,19.34,23.93,30.68,39.83,50.34,"40,230","49,780","63,810","82,850","104,710",,
25-1080,"Education and Library Science Teachers, Postsecondary",broad,"65,160",1.9,*,"68,560",1.0,*,*,*,*,*,"31,900","45,370","62,040","82,960","114,310",TRUE,
29-2035,Magnetic Resonance Imaging Technologists,detailed,"33,460",1.8,32.86,"68,340",0.4,22.45,27.00,32.56,37.91,45.46,"46,690","56,160","67,720","78,840","94,550",,
11-9140,"Property, Real Estate, and Community Association Managers",broad,"174,410",1.1,32.81,"68,240",0.8,13.70,18.83,26.63,38.59,59.51,"28,490","39,160","55,380","80,270","123,790",,
11-9141,"Property, Real Estate, and Community Association Managers",detailed,"174,410",1.1,32.81,"68,240",0.8,13.70,18.83,26.63,38.59,59.51,"28,490","39,160","55,380","80,270","123,790",,
25-1081,"Education Teachers, Postsecondary",detailed,"60,260",2.0,*,"68,200",1.0,*,*,*,*,*,"31,430","44,640","61,560","82,430","114,330",TRUE,
27-3040,Writers and Editors,broad,"189,840",1.0,32.74,"68,090",0.5,15.22,20.90,29.24,40.14,53.78,"31,660","43,470","60,820","83,490","111,870",,
29-9010,Occupational Health and Safety Specialists and Technicians,broad,"86,270",1.2,32.68,"67,970",0.4,17.71,23.60,31.69,40.21,48.32,"36,850","49,090","65,920","83,650","100,500",,
15-1152,Computer Network Support Specialists,detailed,"184,570",1.3,32.33,"67,260",0.5,17.48,22.61,29.93,39.76,51.11,"36,350","47,020","62,250","82,700","106,310",,
47-1000,Supervisors of Construction and Extraction Workers,minor,"517,560",0.6,32.13,"66,820",0.2,18.75,23.52,29.84,38.50,48.58,"39,000","48,920","62,070","80,080","101,040",,
47-1010,First-Line Supervisors of Construction Trades and Extraction Workers,broad,"517,560",0.6,32.13,"66,820",0.2,18.75,23.52,29.84,38.50,48.58,"39,000","48,920","62,070","80,080","101,040",,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"517,560",0.6,32.13,"66,820",0.2,18.75,23.52,29.84,38.50,48.58,"39,000","48,920","62,070","80,080","101,040",,
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"1,409,550",0.5,32.11,"66,790",0.3,12.90,18.43,26.79,38.76,56.73,"26,830","38,340","55,730","80,620","118,000",,
39-5091,"Makeup Artists, Theatrical and Performance",detailed,"3,060",10.2,32.00,"66,560",4.3,9.34,13.34,25.59,47.22,58.71,"19,420","27,750","53,230","98,210","122,110",,
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"291,540",0.6,31.79,"66,120",0.2,18.20,22.90,29.91,38.88,48.06,"37,850","47,620","62,220","80,870","99,960",,
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,"17,980",2.2,*,"66,090",1.1,*,*,*,*,*,"29,660","42,140","59,280","80,960","114,150",TRUE,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,"42,320",3.5,31.74,"66,020",1.1,18.81,24.73,31.34,37.87,45.25,"39,120","51,430","65,190","78,760","94,120",,
19-1013,Soil and Plant Scientists,detailed,"14,610",4.0,31.72,"65,980",1.3,17.20,22.02,28.87,37.43,50.67,"35,770","45,800","60,050","77,860","105,390",,
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",minor,"445,510",0.5,31.68,"65,890",0.2,18.24,23.30,30.29,38.31,47.56,"37,940","48,470","63,010","79,680","98,920",,
49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers",broad,"445,510",0.5,31.68,"65,890",0.2,18.24,23.30,30.29,38.31,47.56,"37,940","48,470","63,010","79,680","98,920",,
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,"445,510",0.5,31.68,"65,890",0.2,18.24,23.30,30.29,38.31,47.56,"37,940","48,470","63,010","79,680","98,920",,
27-3030,Public Relations Specialists,broad,"218,910",1.1,31.65,"65,830",0.6,15.24,19.96,27.29,37.66,52.92,"31,690","41,520","56,770","78,340","110,080",,
27-3031,Public Relations Specialists,detailed,"218,910",1.1,31.65,"65,830",0.6,15.24,19.96,27.29,37.66,52.92,"31,690","41,520","56,770","78,340","110,080",,
51-8092,Gas Plant Operators,detailed,"16,790",3.9,31.65,"65,830",0.9,20.90,26.16,31.74,36.92,43.63,"43,460","54,410","66,010","76,790","90,740",,
49-9051,Electrical Power-Line Installers and Repairers,detailed,"115,380",1.8,31.57,"65,650",0.7,17.31,24.12,31.95,38.63,46.15,"36,000","50,160","66,450","80,360","95,990",,
17-1021,Cartographers and Photogrammetrists,detailed,"11,970",2.7,31.45,"65,410",0.7,18.98,23.54,29.75,37.95,47.22,"39,470","48,960","61,880","78,940","98,210",,
13-1032,"Insurance Appraisers, Auto Damage",detailed,"15,270",5.1,31.39,"65,300",0.9,20.56,25.34,30.78,37.00,44.50,"42,770","52,700","64,020","76,970","92,550",,
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"79,780",1.2,31.30,"65,100",0.4,18.45,22.83,29.26,37.33,47.53,"38,370","47,480","60,850","77,640","98,860",,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"79,780",1.2,31.30,"65,100",0.4,18.45,22.83,29.26,37.33,47.53,"38,370","47,480","60,850","77,640","98,860",,
27-3041,Editors,detailed,"96,690",1.5,31.21,"64,910",0.8,14.05,19.08,26.93,37.57,52.77,"29,230","39,690","56,010","78,140","109,760",,
25-9030,Instructional Coordinators,broad,"139,460",1.3,31.19,"64,870",0.4,17.28,22.81,29.94,38.14,47.01,"35,950","47,440","62,270","79,330","97,770",,
25-9031,Instructional Coordinators,detailed,"139,460",1.3,31.19,"64,870",0.4,17.28,22.81,29.94,38.14,47.01,"35,950","47,440","62,270","79,330","97,770",,
13-1050,Cost Estimators,broad,"216,270",0.8,31.16,"64,810",0.3,16.69,21.95,29.03,37.98,48.35,"34,720","45,650","60,390","79,000","100,570",,
13-1051,Cost Estimators,detailed,"216,270",0.8,31.16,"64,810",0.3,16.69,21.95,29.03,37.98,48.35,"34,720","45,650","60,390","79,000","100,570",,
41-3020,Insurance Sales Agents,broad,"386,140",1.3,31.15,"64,790",0.9,12.66,16.45,23.17,35.73,58.94,"26,330","34,220","48,200","74,320","122,590",,
41-3021,Insurance Sales Agents,detailed,"386,140",1.3,31.15,"64,790",0.9,12.66,16.45,23.17,35.73,58.94,"26,330","34,220","48,200","74,320","122,590",,
53-5000,Water Transportation Workers,minor,"77,260",3.4,31.11,"64,720",1.9,12.71,18.39,26.44,39.10,55.87,"26,440","38,250","55,000","81,330","116,220",,
23-2099,"Legal Support Workers, All Other",detailed,"45,570",2.2,31.02,"64,530",1.1,14.88,19.23,25.92,38.84,58.92,"30,960","40,000","53,920","80,790","122,560",,
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,"14,560",2.2,*,"64,460",1.2,*,*,*,*,*,"33,060","45,520","58,770","77,000","103,260",TRUE,
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"286,870",1.3,30.94,"64,350",0.4,18.34,23.02,30.32,37.42,45.26,"38,150","47,890","63,060","77,840","94,140",,
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"271,600",1.3,30.91,"64,300",0.4,18.21,22.88,30.28,37.46,45.29,"37,880","47,590","62,980","77,910","94,190",,
19-3091,Anthropologists and Archeologists,detailed,"6,980",7.2,30.91,"64,290",1.3,17.04,21.88,29.43,38.25,46.66,"35,440","45,520","61,220","79,550","97,040",,
19-1023,Zoologists and Wildlife Biologists,detailed,"17,910",3.3,30.88,"64,230",0.7,18.84,23.06,28.69,36.07,46.82,"39,180","47,950","59,680","75,040","97,390",,
13-1020,Buyers and Purchasing Agents,broad,"414,900",0.6,30.85,"64,170",0.3,16.80,21.65,28.66,37.77,47.74,"34,940","45,020","59,620","78,570","99,300",,
19-1031,Conservation Scientists,detailed,"20,200",1.7,30.67,"63,800",0.6,17.97,22.73,29.38,36.61,44.15,"37,380","47,270","61,110","76,140","91,830",,
13-1071,Human Resources Specialists,detailed,"491,090",0.5,30.63,"63,710",0.3,16.40,21.05,28.06,37.16,48.04,"34,120","43,780","58,350","77,300","99,920",,
27-4014,Sound Engineering Technicians,detailed,"13,840",4.4,30.45,"63,340",2.3,10.82,17.10,25.64,39.15,56.99,"22,510","35,570","53,330","81,430","118,530",,
13-1070,Human Resources Workers,broad,"571,640",0.5,30.42,"63,280",0.3,15.46,20.66,28.06,37.44,48.60,"32,150","42,970","58,370","77,880","101,100",,
17-3012,Electrical and Electronics Drafters,detailed,"29,200",5.0,30.24,"62,890",0.9,17.38,22.29,28.62,37.03,45.84,"36,140","46,360","59,520","77,020","95,340",,
19-1030,Conservation Scientists and Foresters,broad,"28,790",1.7,30.22,"62,860",0.5,18.03,22.74,28.95,36.04,43.88,"37,510","47,300","60,220","74,970","91,260",,
41-9020,Real Estate Brokers and Sales Agents,broad,"190,510",1.4,30.22,"62,850",1.3,10.57,14.21,21.93,36.03,59.97,"22,000","29,560","45,610","74,940","124,740",,
17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"70,750",2.0,30.20,"62,820",0.8,16.28,22.14,29.45,37.05,45.24,"33,870","46,060","61,260","77,070","94,100",,
33-1011,First-Line Supervisors of Correctional Officers,detailed,"42,520",0.5,30.18,"62,770",0.7,18.28,21.17,28.71,37.78,45.23,"38,030","44,020","59,720","78,590","94,080",,
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"55,110",1.5,30.12,"62,650",0.6,16.32,21.44,28.33,37.33,46.32,"33,940","44,580","58,920","77,660","96,340",,
49-9097,Signal and Track Switch Repairers,detailed,"8,190",5.4,30.12,"62,650",2.1,20.71,25.46,30.69,35.78,38.74,"43,070","52,950","63,840","74,430","80,590",,
51-8090,Miscellaneous Plant and System Operators,broad,"105,670",2.2,30.07,"62,540",0.6,18.02,23.76,29.85,36.13,42.78,"37,490","49,420","62,100","75,160","88,980",,
13-1150,Training and Development Specialists,broad,"254,060",0.9,30.03,"62,460",0.3,15.47,20.40,27.99,37.59,47.94,"32,170","42,420","58,210","78,180","99,710",,
13-1151,Training and Development Specialists,detailed,"254,060",0.9,30.03,"62,460",0.3,15.47,20.40,27.99,37.59,47.94,"32,170","42,420","58,210","78,180","99,710",,
41-3090,"Miscellaneous Sales Representatives, Services",broad,"886,580",0.8,29.98,"62,360",0.4,11.89,16.68,24.86,36.79,54.60,"24,720","34,700","51,700","76,520","113,570",,
41-3099,"Sales Representatives, Services, All Other",detailed,"886,580",0.8,29.98,"62,360",0.4,11.89,16.68,24.86,36.79,54.60,"24,720","34,700","51,700","76,520","113,570",,
13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,"12,160",3.5,29.94,"62,280",1.8,15.01,20.04,27.05,36.12,48.65,"31,220","41,690","56,270","75,140","101,180",,
27-1029,"Designers, All Other",detailed,"6,590",5.2,29.92,"62,220",2.6,11.37,17.17,25.62,37.47,52.70,"23,650","35,710","53,280","77,940","109,610",,
25-2054,"Special Education Teachers, Secondary School",detailed,"129,770",1.4,*,"62,180",0.8,*,*,*,*,*,"38,890","46,780","58,500","74,860","94,200",TRUE,
27-1019,"Artists and Related Workers, All Other",detailed,"7,700",8.1,29.87,"62,130",3.6,13.45,18.71,28.10,40.39,48.19,"27,970","38,920","58,450","84,020","100,240",,
33-3052,Transit and Railroad Police,detailed,"3,720",7.3,29.85,"62,090",2.0,16.90,22.51,28.69,36.91,45.06,"35,160","46,820","59,670","76,770","93,720",,
29-2030,Diagnostic Related Technologists and Technicians,broad,"361,430",0.7,29.84,"62,080",0.3,18.32,23.20,29.04,35.85,43.38,"38,110","48,270","60,400","74,570","90,230",,
27-3000,Media and Communication Workers,minor,"564,800",0.7,29.76,"61,910",0.4,12.55,17.80,25.73,36.62,50.32,"26,110","37,020","53,530","76,160","104,670",,
17-1022,Surveyors,detailed,"43,140",1.8,29.75,"61,880",0.7,15.79,20.86,27.89,37.13,46.06,"32,850","43,380","58,020","77,230","95,800",,
17-3023,Electrical and Electronics Engineering Technicians,detailed,"139,080",2.5,29.74,"61,870",0.5,17.39,22.53,29.39,35.67,43.54,"36,170","46,860","61,130","74,190","90,570",,
29-2011,Medical and Clinical Laboratory Technologists,detailed,"162,950",1.2,29.74,"61,860",0.3,19.96,24.56,29.09,34.99,40.53,"41,510","51,080","60,520","72,780","84,300",,
29-9000,Other Healthcare Practitioners and Technical Occupations,minor,"151,680",1.0,29.72,"61,820",0.4,15.06,19.87,27.88,37.77,47.23,"31,320","41,330","57,990","78,550","98,250",,
41-3010,Advertising Sales Agents,broad,"149,770",1.8,29.66,"61,690",1.1,10.98,15.61,23.31,35.89,54.98,"22,840","32,470","48,490","74,650","114,350",,
41-3011,Advertising Sales Agents,detailed,"149,770",1.8,29.66,"61,690",1.1,10.98,15.61,23.31,35.89,54.98,"22,840","32,470","48,490","74,650","114,350",,
33-3050,Police Officers,broad,"657,460",0.6,29.46,"61,270",1.0,16.08,20.64,28.04,36.62,46.20,"33,440","42,930","58,330","76,170","96,090",,
33-3051,Police and Sheriff's Patrol Officers,detailed,"653,740",0.6,29.45,"61,270",0.8,16.07,20.63,28.04,36.62,46.21,"33,430","42,910","58,320","76,160","96,110",,
19-3093,Historians,detailed,"3,010",4.4,29.38,"61,120",2.1,13.42,17.68,26.83,38.85,48.98,"27,920","36,760","55,800","80,810","101,880",,
13-1075,Labor Relations Specialists,detailed,"79,330",1.7,29.30,"60,930",1.4,8.70,12.72,28.28,39.85,53.09,"18,090","26,470","58,820","82,890","110,430",,
19-4040,Geological and Petroleum Technicians,broad,"16,820",5.2,29.19,"60,710",2.5,11.94,18.23,26.73,36.82,47.41,"24,840","37,930","55,610","76,580","98,620",,
19-4041,Geological and Petroleum Technicians,detailed,"16,820",5.2,29.19,"60,710",2.5,11.94,18.23,26.73,36.82,47.41,"24,840","37,930","55,610","76,580","98,620",,
47-2010,Boilermakers,broad,"16,350",5.0,29.16,"60,660",1.2,17.70,22.98,28.90,35.70,41.49,"36,810","47,800","60,120","74,250","86,290",,
47-2011,Boilermakers,detailed,"16,350",5.0,29.16,"60,660",1.2,17.70,22.98,28.90,35.70,41.49,"36,810","47,800","60,120","74,250","86,290",,
19-1032,Foresters,detailed,"8,590",3.9,29.16,"60,650",0.9,18.59,22.76,28.00,33.97,40.86,"38,660","47,350","58,230","70,660","84,980",,
53-4040,Subway and Streetcar Operators,broad,"12,600",5.4,29.12,"60,580",3.6,20.25,24.51,29.98,34.99,37.71,"42,120","50,980","62,360","72,780","78,440",,
53-4041,Subway and Streetcar Operators,detailed,"12,600",5.4,29.12,"60,580",3.6,20.25,24.51,29.98,34.99,37.71,"42,120","50,980","62,360","72,780","78,440",,
51-8020,Stationary Engineers and Boiler Operators,broad,"34,630",2.0,29.08,"60,480",1.0,17.02,22.29,28.14,35.09,43.88,"35,400","46,350","58,530","72,980","91,260",,
51-8021,Stationary Engineers and Boiler Operators,detailed,"34,630",2.0,29.08,"60,480",1.0,17.02,22.29,28.14,35.09,43.88,"35,400","46,350","58,530","72,980","91,260",,
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"962,820",1.0,*,"60,440",0.5,*,*,*,*,*,"37,800","45,520","57,200","73,050","91,190",TRUE,
47-5012,"Rotary Drill Operators, Oil and Gas",detailed,"24,960",4.7,29.03,"60,380",2.2,14.59,18.91,26.11,34.51,44.65,"30,360","39,340","54,310","71,790","92,870",,
25-2053,"Special Education Teachers, Middle School",detailed,"91,050",1.7,*,"60,300",1.0,*,*,*,*,*,"38,320","45,920","57,280","72,310","89,820",TRUE,
25-2030,Secondary School Teachers,broad,"1,040,250",1.0,*,"60,270",0.5,*,*,*,*,*,"37,830","45,520","57,110","72,780","90,700",TRUE,
49-2091,Avionics Technicians,detailed,"17,340",3.5,28.94,"60,200",1.2,17.77,23.50,28.15,34.83,42.10,"36,960","48,880","58,540","72,440","87,570",,
49-3010,Aircraft Mechanics and Service Technicians,broad,"124,040",2.1,28.92,"60,160",0.9,16.71,22.46,28.06,35.09,42.81,"34,770","46,720","58,370","72,990","89,050",,
49-3011,Aircraft Mechanics and Service Technicians,detailed,"124,040",2.1,28.92,"60,160",0.9,16.71,22.46,28.06,35.09,42.81,"34,770","46,720","58,370","72,990","89,050",,
49-9050,Line Installers and Repairers,broad,"221,740",1.5,28.92,"60,160",0.5,15.17,20.20,29.53,36.60,43.70,"31,560","42,010","61,430","76,140","90,900",,
19-4092,Forensic Science Technicians,detailed,"14,070",1.8,28.89,"60,090",1.0,16.34,20.35,27.08,35.58,45.39,"34,000","42,320","56,320","74,000","94,410",,
47-4010,Construction and Building Inspectors,broad,"91,480",1.2,28.86,"60,030",0.5,16.73,21.39,27.57,35.36,44.04,"34,800","44,490","57,340","73,560","91,600",,
47-4011,Construction and Building Inspectors,detailed,"91,480",1.2,28.86,"60,030",0.5,16.73,21.39,27.57,35.36,44.04,"34,800","44,490","57,340","73,560","91,600",,
51-1000,Supervisors of Production Workers,minor,"603,080",0.4,28.81,"59,930",0.2,16.05,20.57,27.09,35.35,45.07,"33,390","42,780","56,340","73,520","93,740",,
51-1010,First-Line Supervisors of Production and Operating Workers,broad,"603,080",0.4,28.81,"59,930",0.2,16.05,20.57,27.09,35.35,45.07,"33,390","42,780","56,340","73,520","93,740",,
51-1011,First-Line Supervisors of Production and Operating Workers,detailed,"603,080",0.4,28.81,"59,930",0.2,16.05,20.57,27.09,35.35,45.07,"33,390","42,780","56,340","73,520","93,740",,
23-1012,Judicial Law Clerks,detailed,"12,660",1.2,28.81,"59,910",3.4,15.30,19.51,24.39,33.87,52.27,"31,820","40,580","50,740","70,450","108,730",,
25-2050,Special Education Teachers,broad,"484,240",0.8,*,"59,800",0.7,*,*,*,*,*,"36,980","45,070","56,610","72,010","90,270",TRUE,
33-2021,Fire Inspectors and Investigators,detailed,"12,290",2.0,28.75,"59,800",1.0,16.47,20.88,27.27,35.69,44.29,"34,260","43,430","56,730","74,230","92,120",,
29-1126,Respiratory Therapists,detailed,"120,330",1.0,28.67,"59,640",0.3,20.18,23.44,27.78,33.40,38.67,"41,970","48,750","57,790","69,470","80,440",,
27-4031,"Camera Operators, Television, Video, and Motion Picture",detailed,"20,060",3.4,28.54,"59,360",1.9,12.05,16.44,23.60,34.71,50.54,"25,070","34,200","49,080","72,190","105,120",,
53-4011,Locomotive Engineers,detailed,"37,490",7.0,28.54,"59,360",1.8,19.47,22.43,27.04,32.09,39.57,"40,490","46,650","56,240","66,740","82,310",,
19-3020,Survey Researchers,broad,"13,650",5.7,28.53,"59,340",2.5,10.72,17.29,25.92,37.12,47.84,"22,300","35,960","53,920","77,210","99,500",,
19-3022,Survey Researchers,detailed,"13,650",5.7,28.53,"59,340",2.5,10.72,17.29,25.92,37.12,47.84,"22,300","35,960","53,920","77,210","99,500",,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"111,200",1.6,28.50,"59,270",0.7,14.52,18.96,25.45,34.23,45.96,"30,200","39,430","52,940","71,210","95,590",,
29-1129,"Therapists, All Other",detailed,"10,890",4.9,28.46,"59,210",1.6,15.56,20.21,26.93,35.39,44.76,"32,360","42,040","56,010","73,620","93,100",,
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,"14,210",4.8,28.41,"59,080",1.2,17.72,23.57,28.36,33.92,38.92,"36,860","49,020","58,990","70,560","80,950",,
51-8091,Chemical Plant and System Operators,detailed,"35,020",4.8,28.40,"59,070",0.9,17.35,22.48,28.52,34.68,38.93,"36,090","46,760","59,320","72,130","80,970",,
27-2041,Music Directors and Composers,detailed,"21,540",2.6,28.38,"59,040",2.7,10.13,16.92,23.95,33.74,48.63,"21,070","35,200","49,820","70,180","101,150",,
25-4020,Librarians,broad,"131,550",0.7,28.33,"58,930",0.3,16.26,21.43,27.35,34.43,42.56,"33,810","44,580","56,880","71,620","88,530",,
25-4021,Librarians,detailed,"131,550",0.7,28.33,"58,930",0.3,16.26,21.43,27.35,34.43,42.56,"33,810","44,580","56,880","71,620","88,530",,
51-8000,Plant and System Operators,minor,"311,050",1.0,28.26,"58,780",0.4,15.53,20.44,27.48,35.42,43.24,"32,310","42,520","57,160","73,680","89,930",,
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"632,760",1.4,*,"58,760",0.7,*,*,*,*,*,"37,350","44,800","55,860","70,480","87,060",TRUE,
53-4090,Miscellaneous Rail Transportation Workers,broad,"4,550",8.3,28.25,"58,760",3.9,13.58,20.49,28.77,36.46,42.87,"28,240","42,610","59,840","75,830","89,160",,
