title,mediaType,eps,duration,startYr,finishYr,description,contentWarn,watched,watching,rating,votes,studio_primary,studios_colab,genre
Detective Conan Movie 17: Zekkai no Private Eye,Movie,1,67,2013,2013,"After winning a prize to a military ship cruise, Conan and the others are left with the task of finding the culprit among them as the security of the whole country rests on their shoulders.",No,2194,21,4.202,1249,TMS Entertainment,No,Other
Fatal Fury: Legend of the Hungry Wolf,TV Special,1,46,1992,1992,"When legendary martial artist Jeff Bogard is assassinated by his archrival Geese Howard, Jeff's young sons Terry and Andy swear revenge. Years later, their skills honed, they return and enter the King of Fighters tournament, each hoping to prove himself worthy of learning their school's ultimate technique: the only attack that can defeat Geese. But Geese himself controls the tournament from the shadows, and he will stop at nothing to eliminate the brothers before they acquire the secret they seek!",No,2353,5,2.966,1342,Others,No,Action
Parasol Henbei,TV,34,10,1989,1991,"All children dream to have a friend straight from a fairy tale... A little boy opens his closet and finds a strange creature with a parasol sitting in there. Nobody knows how he got there and from what mysterious worlds he is, but it is a fast friendship from the beginning. And nobody can ever know...",No,17,1,2.278,13,Others,No,Other
Obake-chan,Web,1,10,2015,2015,"""Nice to meet you, I'm Obake-chan.""",No,567,44,3.463,457,Others,No,Other
Popolocrois Monogatari,TV,25,,1998,1999,"The young prince Pietro of PopoloCrois and his forest witch friend Narcia are playing one day when GamiGami Maou – the self-proclaimed arch nemesis of Pietro – initiates a scheme to take over the kingdom. When his plan to switch his castle with that of PopoloCrois backfires, it creates an explosion in the middle of the forest. Amongst the debris, Pietro and Narcia stumble across a young girl, though before they can find out who she is, GamiGami Maou attacks them! Luckily, the power of the dragon blood within Pietro saves them and they are able to restore the forest to its original state before returning home. They later find out that the mysterious girl is named Hyuu and she is one of the wind-kind, a race that died out many years ago. With very few memories of her previous life remaining, Hyuu and Pietro are determined to discover the truth behind the fate of Hyuu’s people, and find a way for her to return to her own time.",No,167,15,3.448,104,Production I.G,Yes,Adventure
Deltora Quest,TV,34,,2007,2008,"In times long past, the Shadow Lord was defeated by the Belt of Deltora, and its creator Adeen united the seven tribes into one kingdom called Deltora. The Shadow Lord bid his time, striking again generations later; he destroyed the belt and scattered the gems, thus leaving the land open to be easily subjugated. Now, in the present day, a young man named Lief does what he can to fight the forces of the Shadow Lord. On his 16th birthday, Lief's father confesses to being the last king of Deltora’s friend, and has reforged the sacred belt. With new hope, Lief takes it upon himself to find the gems, restore the belt, and to bring hope to the people of Deltora once more! Together with Barda, an ex-palace guard, Lief sets out on an adventure of a lifetime!",No,1610,199,3.116,1418,OLM,No,Adventure
Heartcatch Pretty Cure!,TV,34,5,2010,2011,"The legendary warrior, Cure Moonlight, was defeated and it's up to shy Tsubomi and fashion-obsessed Erika to step up and become the next Precure team. Together they must battle the Desert Messengers, an evil organization preying on the negative emotions blooming in people's hearts. They want to help their friends and the quickly-wilting Great Heart Tree by collecting Heart Seeds, but can they prevail given they are the weakest Precure in history?!",No,1106,199,3.821,900,Toei Animation,No,Other
Inferious Wakusei Senshi Gaiden Condition Green,OVA,6,25,1991,1992,"Keith, George, Edward, Yang and Shaw are Platoon #801, the five-man team formed to protect their homeworld in the Inferious galaxy from alien invasion. Gazaria's evil emperor Vince conquers the neighbor worlds of Kal and Granad, and suddenly only Platoon #801, also known as Condition Green, stands between him and the conquest of Emerald Earth.",Yes,22,0,1.641,19,Others,No,Other
Mitsudomoe Special,DVD Special,1,24,2011,2011,"According to Futaba, Hitoha has the softest cheeks in all of Japan and loves nothing more than fondling them like a luscious pair of mammaries. However, when the youngest sister wakes up one day with a pimple on her face that bears a startling similarity to a breast, it’s not just Futaba that gets swept up into a frenzy. Meanwhile, Mitsuba has met her match in the form Miku's old exercise machine and a brand new balance ball...",No,2120,17,4.072,1411,Others,No,Other
Captain Tsubasa: Asu ni Mukatte Hashire!,Movie,1,35,1986,1986,"The fourth Captain Tsubasa movie is about a training match of the All Japan Boy Soccer Team, but most of the time you see flashbacks of former matches, for instance the final match Nankatsu vs. Toho or when Wakabayashi challenges team captains of different sports.",No,239,7,3.273,138,Others,No,Other
Gararin to Gororin,Other,1,6,2006,2006,,No,16,0,2.471,11,Others,No,Other
Galaxy Angel Z Special,DVD Special,1,13,2002,2002,"One day, after receiving a note from a mystery man, Forte suddenly takes a leave of absence from the Galaxy Angels. As the girls gossip about what their comrade could be getting up to, Ranpha decides to follow her and find out for herself, dragging Milfeuille and Normad along for the ride. Who is the enigmatic guy that sent the note to Forte and what does he want? More importantly, will Ranpha’s relentless meddling get her anywhere?",No,637,8,3.404,311,MADHOUSE,No,Comedy
Komachi to Dangorou,Web,4,7,2012,2015,,No,43,2,1.621,30,Others,No,Other
My Last Day,Other,1,9,2011,2011,"""My Last Day"" depicts the biblical story of the crucifixion of Jesus through the perspective of a thief who was also crucified.",Yes,304,1,2.911,209,Others,No,Other
Da Capo if,OVA,2,30,2008,2009,"Tragedy has fallen upon Asakura’s family with the sudden loss of a loved one, leaving the devastated Junichi in agony and unable to support himself. A year has passed, and with the help of Kotori and many of Junichi’s supportive friends, he is finally ready to move on with his life with Kotori. However, despite Junichi’s attempt to start anew, Kotori is troubled with Junichi’s newfound decision...",No,2672,47,3.586,1550,Others,No,Romance
Pretty Cure All Stars DX2: Kibou no Hikari - Rainbow Jewel o Mamore!,Movie,1,67,2010,2010,"Tsubomi Hanasaki is woken by her best friend Erika Kurumi only to find out that their two fairies, Coffret and Shypre, have left just leaving a note explaining where to find them. Fairy Park is not only the destination of both girls, it is also the meeting point of all other Cures who planned to spend this special day together. This magical theme park holds the Rainbow Jewel, a special gem that represents all of the hopes and dreams of the world. Such powerful stone is the object of desire of a malefic entity named Bottom who has waited one thousand years for the opportunity to possess it.",No,613,13,3.325,337,Toei Animation,No,Other
Uta no Prince-sama: Maji Love 2000% Special,DVD Special,1,24,2013,2013,,No,2270,44,3.881,1400,A-1 Pictures,No,Other
Broken Blade Movie 2: The Path of Separation,Movie,1,50,2010,2010,Rygart struggles to navigate peace between the two warring factions. He secures a ceasefire long enough to attempt peacetalks with a high-ranking official in Athens.,No,4649,42,4.275,3100,Production I.G,Yes,Other
Beyblade: Burst Gachi,TV,34,,2019,2020,,No,39,83,2.828,53,OLM,No,Action
The Garden of Sinners: Recalled Out Summer - Manner Movie,Other,1,1,2013,2013,,No,171,2,1.951,116,Others,No,Other
Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!,Movie,1,14,2011,2011,,No,4649,86,3.61,3100,Studio Pierrot,No,Other
Xam'd: Lost Memories,Web,26,25,2008,2009,"Akiyuki lives on post-war Sentan Island, always rushing between the demands of his separated parents and his friends at school. But his carefree days come abruptly to an end when his school bus suffers an explosion, the first attack to plunge Sentan back into war. Akiyuki lives to find himself turned into a Xam'd, a mysterious creature, by the suspected cause of the explosion. Engulfed by Xam'd, Akiyuki is eventually saved by a red-haired girl, Nakiami, only to find himself torn away from those he loves. Now he must work to control and understand the creature within him, all while searching for his family and friends in a world steeped in the secrets and chaos of war.",No,4649,199,4.118,3100,Others,No,Romance
Space Knight Tekkaman,TV,26,5,1975,1975,,No,242,15,2.861,136,Others,No,Other
Sports Day,Movie,1,9,1967,1970,"A lively day of sports has arrived! For plenty of animals this means rousing competitions of skill and stamina. Monkeys swing from their hands and tails on the high bar; bears and even a hippo dive from high above into a tiny pool; and kangaroos and pigs box it out in the ring. From acrobatics to one-on-one combat, there’s plenty of fun to be had in sports!",No,179,1,2.034,106,Others,No,Other
The Garden of Sinners Movie 2: ...And Nothing Heart. (Murder Speculation Part A),Movie,1,58,2007,2007,"In the winter of 1995, Mikiya Kokutou passes a young woman during a late night stroll in the snow. Clad in a striking white kimono and bearing an enigmatic gaze, Shiki Ryougi smiles at Mikiya who stares back with curiosity. As they become acquaintances through lunchtime conversations, Shiki begins opening up to him, with Mikiya learning about her unique upbringing.",Yes,4649,118,4.284,3100,Others,No,Other
Hunter x Hunter: Phantom Rouge,Movie,1,67,2013,2013,"Following the events of the Yorknew auction heist, Kurapika’s quest to avenge his clan takes a distressing turn when his eyes are suddenly stolen - by a friend he thought was long dead! Notified of the situation by Leorio, Gon and Killua set out in search of clues, determined to find the culprit. But things get even more difficult when previously deceased foes begin appearing before the boys; worse yet, a sinister influence from Killua's past has resurfaced, threatening to tear apart their friendship. Along with their new companion Retz, the group will try to work past these obstacles and discover the chilling truth behind the mastermind who is pulling the strings.",No,4649,111,3.944,3100,MADHOUSE,No,Other
Love Live! School Idol Project,TV,13,8,2013,2013,"Honoka Kousaka is heartbroken. Her school, Otonokizaka High, will be forced to shut down unless it can find more prospective students. Luckily, Honoka and her friends have a plan: they'll form an idol group and throw concerts to attract others to join the school! But following through won't be easy – they'll need to find talent, make outfits, find practice space, build stamina and more in hopes of keeping Otonokizaka High alive!",No,4649,199,3.907,3100,Sunrise,No,Other
Hoshi no Orpheus,Movie,1,67,1979,1979,"Silently telling the tales of many myths involving transformation, a boy called Wondermaker moves through realms of imagination. He becomes Actaeon, a hunter who peeks at the bathing goddess Diana. Then, as Orpheus, he descends into Hades to retrieve his wife Eurydice. He courts a girl named Perce as the swift god Mercury, and as Perseus he is sent to slay Medusa – a creature who turns all who look at her into stone. Finally, Wondermaker becomes Phaeton, the son of the sun god, who seeks to steal his father’s chariot in order to fly.",No,102,1,2.475,51,Others,No,Fantasy
Yu-Gi-Oh! 5D's: Evolving Duel! Stardust vs Red Demons,Other,1,3,2008,2008,"Yuusei Fudou and Jack Atlas go head-to-head in the Duel Stadium once again with the title of ""King of Riding Duels"" on the line. As Stardust Dragon and Red Demon's Dragon clash, both Duelists activate ""Buster Mode"" and unleash powerful new forms of their ace monsters.",No,1969,30,3.4,968,Others,No,Other
Strike the Blood,TV,24,5,2013,2014,"300 km south of Tokyo lies Itogami Island - a man-made landmass that’s been authorized by the government to house spirits, vampires, mermaids, and other magical beings who’ve been pushed to the brink of extinction. Kojou Akatsuki is one such resident who used to be a typical high school boy, until an incident 3 months ago turned him into the Fourth Progenitor - a powerful vampire - against his will. And while he’d rather stay an anonymous teenager, things change when Yukina, a sword shaman from an anti-terrorism agency, arrives with intentions to watch over and potentially eliminate Kojou...",No,4649,199,3.836,3100,Others,Yes,Other
Buddy Go!,TV Special,3,2,2016,2016,"Ai Shizukuishi is a shy, plain girl with not-so-great grades and a secret. She posted videos of her dancing in male clothes onto Smile Douga, and she became a viral hit. Ai aims to beat Hayate, the ""godly"" ""prince of dance"" on Smile Douga. However, her cross-dressing dances happened to catch the eye of an entertainment agency, so she makes her professional debut — in an idol unit with Hayate. On top of that, the two have to share quarters under the agency's rules.",No,522,26,3.046,282,Others,No,Romance
Medaka Box Abnormal,TV,12,5,2012,2012,"After Medaka Kurokami defeated Myouri Unzen (the head of the disciplinary committee), she is recruited by the headmaster to join the ""13 Party"" - an elite and select group of 13 Abnormal students from Class 13. Medaka discovers that they are taking part in the Flask Plan, which aims to create perfect humans by sacrificing all the students in the school. It is up to Medaka and the rest of the student council to stop it.",No,4649,199,3.928,3100,Others,No,Other
Glass Mask (2005),TV,34,,2005,2006,"Maya is a dreamy young girl whose clumsiness is matched only by her absent-mindedness. While others have given up on her, the legendary actress Tsukikage sees her hidden potential and offers to take Maya under her tutelage. Maya loves the theatre more than anything, and as there's not much she can do about it at home, she chooses to run away with Tsukikage. The world of theatre is harsh, however, especially for a naive young girl far away from home. While she finds new friends who support her, her mentor has powerful enemies and Maya is often on the receiving end of their ruthless plans. In face of the adversity, Maya must constantly fight to develop her skills to catch up with her unbelievably talented rival, Ayumi, if she hopes to inherit Tsukikage's legendary role: The Crimson Goddess.",No,2462,199,4.216,1985,TMS Entertainment,No,Romance
Revolutionary Girl Utena,TV,34,6,1997,1997,"When Utena Tenjou was very little her parents died, and a prince comforted her in her time of loss, giving her a ring with a rose seal. He so impressed her that she decided to become a prince herself one day. Now, Utena is a teenager at Ohtori Academy who's athletic and notorious for dressing in a boy's uniform. When a member of the Student Council humiliates a friend of hers Utena challenges him to a duel, and he accepts only when he sees she possesses a rose seal ring. She soon discovers that this is no normal duel - it's a bizarre and ritualistic battle that the Student Council regularly conducts. In fact when she wins, Utena finds to her considerable chagrin that she gets to have Anthy Himemiya, a rather docile student, as her 'Rose Bride'. If she wants to keep Anthy she'll have to win more duels against members of the Student Council and others. What is the ultimate purpose of these duels and Anthy's role as the Rose Bride?",Yes,4649,199,3.987,3100,J.C. Staff,No,Other
Heaven's Lost Property: Forte,TV,12,5,2010,2010,"Tomoki Sakurai's peaceful life is now long in the past, because he has to deal with two angeloids, Ikaros and Nymph, as well as with his friends from school, all of whom are very special in their own ways. Tomoki's recurring dream about an angel warning him from the rage of heavens is becoming very common, until one day a new angel, who is as powerful as Ikaros, arrives Earth with the sole purpose of terminating Tomoki—his dream is starting to connect both realities, the Earth and the Synapses.",No,4649,199,4.151,3100,Others,No,Other
Tensai Bakabon,TV,34,5,1971,1972,"Saying ""Yeah, this is fine!"" the Bakabon family cause everyone around them to howl with laughter. Fishing in puddles, playing with an invisible dog, taking a bath with clothes on... Today, too, those in the Bakabon family are being tricked into doing silly things.",No,21,2,2.612,13,Others,No,Other
Flying House,TV,34,,1982,1983,"What started as a game of hide and seek ended in the adventure of a lifetime! Corky, Angie and Justin were playing a rousing game when a storm forced them to look for shelter - leading them to a strange house in the woods. Inside, they found the solar iron robot SIR and Professor Bumble; and after a failed experiment, the gang found themselves... somewhere, and sometime else. With no idea how to get home, the Flying House and its inhabitants travel throughout time, inadvertently experiencing the events of the Bible's New Testament along the way. Can the children find their way home?",No,257,10,2.545,148,Others,No,Adventure
Uchurei!,TV,12,3,2009,2009," The ""summer supernatural teen comedy"" revolves around an ordinary high school boy named Takashi who ends up living with a space alien's spirit after a strange incident. He names the creature ""Uchurei"" and plans to keep it as a pet, but becomes possessed by it.",No,118,9,2.051,87,Others,Yes,Other
Rurouni Kenshin Special,Other,1,24,1998,1998,A special episode released on VHS.,No,347,11,3.557,192,Studio Deen,No,Other
Ginga Tetsudou 999: Niji no Michishirube,Other,1,15,2001,2001,,No,24,2,2.375,14,Toei Animation,No,Other
The Marshmallow Times,TV,34,,2004,2005,,No,17,3,2.89,11,Others,No,Based on a Manga
Beyond the Boundary,TV,12,,2013,2013,"In a world where supernatural beings known as youmu are hunted by Spirit World Warriors, Akihito lives an eventful life. He’s a half-breed from a human mother and a youmu father, and is immortal - a fact that saves his life on a regular basis, for his bespectacled classmate Mirai can’t seem to stop stabbing him in the chest. She’s a Spirit World Warrior with the power to control her blood, which she manifests into a sword; and with low self esteem about her abilities to hunt youmu, Mirai constantly uses Akihito as target practice. In hopes of being left alone, Akihito must now help Mirai gain confidence to take down sinister youmu.",No,4649,199,4.099,3100,Others,No,Other
Lord of Lords Ryu Knight: Adeu's Legend II,OVA,3,56,1995,1996,"Giltz has been defeated, and peace has returned at last to Earthtia. The band of heroes has gone their separate ways, but now Paffy, Izumi and Adeu must reunite once more to vanquish a new threat: Dyuma, a king, lusts for the power of the demonic Dial of Destruction – and with it, the world could be destroyed. He uses Empress of Silence, Sophie, to help in his evil quest; for she has the power to control Ryu and take their souls. Can Adeu and the others save Earthtia yet again?",No,121,5,2.483,50,Sunrise,No,Other
DECO*27: Winter Cleaning,Music Video,1,4,2013,2013,,No,136,1,2.185,90,Others,No,Other
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D - Tachikoma na Hibi,DVD Special,3,4,2011,2011,,No,36,3,2.445,23,Others,No,Other
Persona 3 The Movie 4: Winter of Rebirth,Movie,1,67,2016,2016,"To know death, to gaze at death, to face death. Makoto and his allies have grown through the many meetings and partings they have experienced. Their fight might not be for the sake of the world, but for themselves. Even so, they have continued to fight, believing that there are peaceful days waiting at the end of the battle. However, a boy says that destruction is the fate that humanity must shoulder. The boy they believed to be their friend tells them the truth of the situation without an emotion on his face. The season changes to winter. Makoto makes a decision in order to greet the spring that is waiting beyond...",No,1464,56,4.225,956,A-1 Pictures,No,Other
Erin,TV,34,12,2009,2009,"In the war against neighboring countries, the Grand Duke’s warriors use dragon-like beasts called Touda as weapons. Touda are admired across the nation and villages take great pride in breeding them. Erin lives in one such village with her mother, Soyon, who is the best beastinarian in the country. However, life in the village is not so straightforward: Soyon is also an Ariyo, a woman of the Mist People - a race that is feared by humans for its mystical abilities. So that she and Erin can stay in the village, Soyon must flawlessly fulfill her duty capturing and disciplining the Touda; but while Erin wants nothing more than to become a beastinarian, she also feels sorry for the Touda and recognizes that there’s far more to them than meets the eye. Can Erin ever become an ordinary beastinarian when her deepest instincts tell her there is a better way to interact with the Touda?",Yes,2809,199,4.293,2655,Production I.G,Yes,Other
Legend of the Galactic Heroes: My Conquest is the Sea of Stars,Movie,1,60,1988,1988,"Imperial Admiral Reinhard von Musell is an ambitious, aspiring young admiral within the Galactic Empire, who has earned the animosity of his peers; they believe that he has reached his position only due to his sister’s influence with Kaiser Goldenbaum, earning him the nickname of ""the Admiral under the skirt."" Meanwhile, Alliance Commodore Wen-Li Yang, fresh from his heroic victory against overwhelming odds at El Facil, has just been given the unenviable assignment of military advisor to a self-assured superior officer. Both of these Galactic Heroes, on opposite sides of the conflict, face the same task of having to overcome their superiors’ suspicions and win the day at ""the 4th Tiamat Battle"" of a 150-year-long war.",No,1752,29,4.271,1295,MADHOUSE,Yes,Drama
Momokuri,Web,26,12,2015,2016,"Yuki Kurihara has finally been granted her wish of dating her crush Momo. At first glance, she just looks like a normal but very cute girl. However, she is in fact a maniac over Momo, taking notes of his activities and never missing the chance to see him in a cute moment. Momo, on the other hand, is inexperienced in love, and just wants to make Yuki happy.",No,1817,199,3.588,1585,Others,No,Other
Da Capo III,TV,13,5,2013,2013,"Legends tell of a beautiful cherry tree that bloomed year-round on Hatsunejima Island and even granted wishes. Years later after its magic vanished, Kazami Academy’s Official Newspaper Club, challenged by the Unofficial Newspaper Club to see who can write a better article, decides to report on it to settle their rivalry. But as Kiyotaka and his five close female friends wish upon the arbor to test the rumors, it suddenly bursts into bloom and sends the townspeople a text message from 1951 in the past! The group is now set on uncovering the secrets to the tree’s revival and becoming more than friends with Kiyotaka, who keeps bumping into a young girl called Sakura with a possible connection to these mysterious events...",No,1581,172,2.953,1046,Others,No,Other
sasakure.UK: Patchwork Eden,Music Video,1,4,2013,2013,,No,65,0,1.846,38,Others,No,Other
The World God Only Knows: Four Girls and an Idol,OVA,1,25,2011,2011,"All Chihiro and her friends want is to start a band, but passion doesn't equal talent and the girls sound terrible to say the least! So at Elsie's suggestion, the gang decides to create a light music club in hopes that practice makes perfect, but there's a catch: the ever-oppressive Mr. Kodama won't allow it unless the group scores perfectly on their upcoming English exam! Now to make their dream come true, the girls must study harder than ever - even if it means getting tutored by the Capturing God himself!",No,4649,65,3.869,3100,Others,No,Other
"Sono Toki, Kanojo wa.",TV,12,3,2018,2018,"The anime will take place in Fukuoka, and will follow the love lives of four female protagonists as high school students, college students, and as working adults.",No,239,57,2.052,232,Others,No,Romance
Fuse: Memoirs of a Huntress,Movie,1,67,2012,2012,"Hamaji, a young huntress from the mountains, stumbles into the middle of a shogun's vendetta against a group of human and dog hybrids - the Fuse. Rumors of Fuse murdering innocent people in the bustling city of Edo have sparked a bounty for their heads. Hamaji joins the hunt for this dangerous quarry along with her brother, but after accidentally befriending one of them, Hamaji is torn between two worlds: her life as a self-reliant huntress, and the young woman her new friend has helped her to uncover.",Yes,1448,49,3.96,1093,TMS Entertainment,No,Romance
Mama Guitar: Eat You Up/Bunny,Music Video,1,3,2012,2012,,No,29,0,1.726,22,Others,No,Other
Nekomonogatari (Black) Recap,DVD Special,1,2,2013,2013,,No,119,6,2.511,68,Others,No,Other
Witch Craft Works,TV,12,6,2014,2014,"Honoka Takamiya is a typical teenager; he does his classwork and admires Ayaka, the school idol, who sits next to him in class. But the boy's life changes forever when one day, a piece of the school falls on top of him and he's saved by Ayaka due to... her magical powers?! For Ayaka is a witch, and deeming Honoka to be 'her princess', she is determined to keep the boy safe from harm. Now Honoka must try to stay alive while countless other witches target him, learn more about Ayaka and her craft, and still try to maintain his school life in the process!",No,4649,199,3.715,3100,J.C. Staff,No,Other
Danganronpa 3: The End of Hope's Peak Academy- Despair Arc,TV,11,5,2016,2016,"Hope’s Peak High School is a special school that nurtures those with exceptional talents and abilities. While only top students are a part of the main course, anyone can join the preparatory course, like Haijme Hinata has. Hinata wants nothing more than to be part of the talented elite, but his desires lead him to a fateful encounter that drives the future of the school into despair.",Yes,4649,199,4.067,3100,Others,No,Other
Dragon Ball: Goku's Fire Brigade,TV Special,1,10,1988,1988,"Goku is a member of a town's fire brigade, and after helping a young girl and her brother with an accidental fire, he teaches them about fire safety. Goku's brigade is later summoned to rescue Bulma when a fire starts in her apartment.",No,4649,24,3.192,2601,Toei Animation,No,Other
The Dagger of Kamui,Movie,1,67,1985,1985,"A young boy named Jiro finds his mother and sister murdered in his home. Falsely accused of the crime, he flees from his village and meets a priest named Tenkai, who has him kill a rogue ninja named Tarouza. After fulfilling that task, Jiro undergoes training to become a master assassin. Many years later, Jiro finds out that he was an orphan and his real father was Tarouza, who had worked for Tenkai until he aborted his mission when he fell in love with an Ainu woman. The young ninja discovers that the Shogunate was to retrieve the lost treasure of Captain Kidd and use it to once again isolate Japan from the rest of the world. Using the clues that Tarouza had kept secret, Jiro - along with the female ninja Oyuki and a slave named Sam - travels to Russia and America to search for the treasure in hopes of using it to extract revenge from Tenkai.",Yes,405,8,2.9,278,MADHOUSE,No,Adventure
Souseiki,Movie,1,4,1968,1970,"Before anything, there was only darkness, and God dwelt in a land with neither form nor light. Over the course of five days, the deity created day, sea, land, and all manner of living things that live together in harmony. On the sixth day, he made Eve before molding her a partner, Adam, from the woman’s breast. Only then does all the trouble begin...",No,287,1,2.294,172,Others,No,Other
Denkou Chou Tokkyuu Hikarian,TV,34,18,2002,2003,,No,35,1,2.724,21,Others,No,Adventure
6♥Princess,Music Video,1,3,2013,2013,,No,508,5,2.242,345,Others,No,Other
La Corda D'Oro ~secondo passo~,TV Special,2,24,2009,2009,"Hino Kahoko continues to improve her skills at the Seiso Academy participating in music competitions with the help of Lili, the music fairy, the students from the music department, and a new blond charming character.",No,4493,82,3.56,2812,Others,No,Other
Ikemen Sengoku: Bromances Across Time,TV,12,4,2017,2017,"My name is Sasuke. I was a college student, but one day I fell into a time slip back to the Sengoku Period. What's more is that this Sengoku Period is nothing like what I learned about in the history books...",No,366,54,2.349,288,Others,No,Other
Fuyu no Semi,OVA,3,25,2007,2007,"On the eve of Imperial rule in Japan in the mid-19th century, supporters of the Tokugawa shogunate and supporters of the imperial court clash over the country’s leadership and its place in world affairs. Despite being members of clans with opposing political and social views, Touma Kusaka and Keiichirou Akizuki find that they share an interest in foreign cultures and a vision of a more open and progressive Japan. What starts as a meeting of minds eventually blossoms into a romance, but bound by their clan ties and social positions, Kusaka and Akizuki struggle to find happiness as time, distance, political upheaval and the Boshin war conspire to keep them apart.",Yes,2513,73,3.603,1628,Others,No,Other
Slow Start,TV,12,7.5,2018,2018,"Hana Ichinose has enrolled in high school one year late due to studying to get in. It might not seem like a big deal, but it is to her. She’s off to a slow start, but she wants to work hard and catch up to everyone else!",No,1203,199,3.351,1072,A-1 Pictures,Yes,Other
Kizuna,OVA,2,28,1994,1995,"Ranmaru is handsome, popular, a master of kendo and adored
by his roommate and lover Enjoji. But when Ranmaru is involved in a hit and run
accident, he loses the ability to partake in his beloved sport, and comes to
fully appreciate the man who loves him for who he is. Unfortunately, that
appreciation won't stop other possible suitors that soon try their luck with
the dashing college student, and he finds himself in a compromising position
with one of his professors. Is Ranmaru destined to stay with Enjoji forever,
even when ex-kendo student Kei enters the picture?",No,1536,42,2.594,923,Others,No,Romance
the pillows: 1989,Music Video,1,7,2009,2009,,No,141,0,2.314,105,Others,No,Other
Irodorimidori: Detarame Rock & Roll Theory,Music Video,1,2,2017,2017,,No,85,0,2.162,55,Others,No,Other
Blame! Prologue,OVA,2,4,2007,2007,"In the post-apocalyptic future, the complex networks of machines have created chaos and the human world was destroyed. The robots known as the ""Constructer"" continued to build a meaningless structure with no one to guide them. Soon these cities reach out to the outer planets and another breed of life form emerges. Follow the journey of a strange man, name Killy, in his search for the understanding of the chaotic world being run by Silicon lifeforms out to destroy him and every living thing in their path.",No,614,6,2.052,392,Production I.G,No,Other
Kizuna: Much Ado About Nothing,OVA,1,45,2001,2001,"Enjoji and Ranmaru have been close friends since they bumped into each other on the first day of school. Having shared an intimate moment after an intense kendo match, their relationship moved to the next level and the pair now live together. However, now that he's taken a job at a local host club, Enjoji has started staying out late, coming home drunk and acting suspicious, making Ranmaru more than a little insecure about their future. As a final straw, Ranmaru finds lipstick on Enjoji's chest, flying into a rage and storming out of the house. Is the pair's relationship over, or will reminiscing about the past bring the two closer together than ever?",No,919,22,3.018,577,Others,No,Romance
Funassyi to Yukaina Kyoudai,Web,4,3,2015,2015,,No,15,1,1.409,10,Others,No,Other
Tamayura: Hitotose,TV,12,5,2011,2011,"In a moment of pure warmth and happiness, it is said that children of the light, known as Tamayura, will appear. Fuu Sawatari is a young girl who loves taking photographs the same way that her beloved father did while he was alive. Having recently moved to the town her family frequently visited when she was younger, Fuu enjoys her life to the fullest alongside her friends Kaoru, Norie and Maon. Whether the gang have a sleepover, chase a furry cat around town, or simply enjoy a delicious lunch, Fuu always has her camera in hand in the hopes of finally capturing the illusive Tamayura on film.",No,1392,199,3.471,1280,Others,No,Other
Kuroko's Basketball: Tip Off,DVD Special,1,25,2013,2013,A young Kise tries to understand why some one like Kuroko has been made his mentor.,No,4649,73,4.268,3100,Production I.G,No,Other
Relic Armor Legaciam,OVA,1,50,1987,1987,"Alcia lives a peaceful life on the planet Libertia with her friends Dorothy and Brick, and her grandfather, a talented professor. However, the soldiers of the Guild want their hands on a mecha that Alcia’s grandfather has been working on, and they’ll stop at nothing to get it. Alcia finds herself in the cockpit and in the middle of a battle for her Relic Armor Legaciam, a special device capable of withstanding immense heat. Can she and her friends protect it from the wrong hands?",No,151,4,2.068,106,Others,No,Other
Blast of Tempest,TV,24,3,2012,2013,"Hakaze, princess of the Kusaribe mage clan, has been betrayed and marooned on an island by her own people. They seek to revive the Tree of Exodus, an incomprehensibly powerful entity of alien origin, to save the world from the tyranny of its antithesis: the Tree of Genesis that powers their magic. Hakaze, however, believes their efforts put humanity in jeopardy; and with her power limited, she can only reach out to the world to beg for aid. Her call reaches Mahiro Fuwa, a young man grieving the mysterious death of his sister, Aika. He and his friend Yoshino agree to help - on the condition that Hakaze track down Aika's killer with her magic. The deal is made, and the battle that will determine civilization's fate is begun: but who will play the part of its villain, and who its savior?",No,4649,199,4.217,3100,Others,No,Other
Dokaben,TV,34,5,1976,1979,,No,44,1,2.598,23,Others,No,Other
"Sagashita no wa Oheya, Mitsuketa no wa Mirai",Web,1,4,2013,2013,,No,34,1,2.248,28,Others,No,Other
HoneyWorks: Confession Rival Declaration,Music Video,1,4,2014,2014,,No,304,2,3.122,155,Others,No,Other
Wakako-zake,TV,12,2,2015,2015,"Murasaki Wakako is a 26-year-old OL that loves nothing more than delicious food and drink. Wakako's favorite thing to do for relaxation is to go off by herself after work and go to various places to eat and drink, even if she's never been there before. The moment Wakako is able to taste the pairing between the food she wants to eat and the perfect accompanying drink, the happy sound of ""Pshuuu"" leaves her lips. Now, then. Where shall we drink tonight?",No,1684,124,3.042,1380,Others,No,Other
World Trigger,TV,34,5,2014,2016,"One day, a gate to another world opened in Mikado City. Invaders from another dimension, referred to thereafter as Neighbors, overran the area around the gate, leaving the city gripped by fear. However, a mysterious group suddenly appeared and repelled the Neighbors. This Border Defense Agency independently researches Neighbor technology and fights to protect this world. In a short time, they managed to build an enormous base and prepare a defensive system against the Neighbors. it's been four years since then.",No,4649,199,3.869,3100,Toei Animation,No,Other
Made in Japan,Other,1,3,1972,1972,,No,22,0,1.678,15,Others,No,Other
