ID,School,State,City,First,Last,Phone ,Tution ,
1318,Truck Driver Institute,TN,Christiana/Murfreesboro,Sherry,Hart,615-895-2070,"$39,600.00",
1319,A.T.D.S.,TX,Elm Mott,Susan,Null,254-829-1694,"$35,900.00",
1320,Academy School of Careers,TX,Carrollton,Karina,Bouman,469-208-2160,"$36,500.00",
1321,Action Career Training,TX,Abilene,Brenda,Null,325-677-2444,"$37,800.00",
1322,Action Career Training,TX,San Angelo,Brenda,Null,325-481-8324,"$35,800.00",
1323,Action Career Training,TX,Killeen,Brenda,Null,325-665-1243,"$37,800.00",
1324,Alamo Truck Driving School,TX,San Antonio,Stephanie,Perez,210-648-6303,"$36,700.00",
1325,Alvin Community College,TX,Alvin,Jimmy,Null,281-756-3500,"$40,000.00",
1326,Amarillo College,TX,Amarillo,Jerry,Terry,806-371-5000,"$36,800.00",
1327,Center For Employment Training,TX,El Paso,Peter,Sakells,915-859-1070,"$37,800.00",
1328,Continental Truck Driving School,TX,Dallas,Scott,Null,972-224-5551,"$33,100.00",
1329,Del Mar Community College,TX,Corpus Christi,John,Rojas,361-698-2707,"$37,200.00",
1330,Houston Comm College / Roland Smith ,TX,Houston,Martin,Null,713-718-8203,"$33,600.00",
1331,International Truck Driving School,TX,Dallas,Cyndi,Smith,214-398-6878,"$35,200.00",
1332,International Truck Driving School Austin Comm Col,TX,Elgin,Rick,Hidalgo,512-223-7115,"$37,200.00",
1333,International Truck Driving School,TX,Odessa,Marilyn,Jenkins,432-580-0860,"$38,200.00",
1334,L.H.C.T. / Highway Masters,TX,Laredo,Jessica,Null,956-791-9200,"$40,400.00",
1335,Lamar Institute of Technology,TX,Beaumont,Marlon,Hartman,409-839-2942,"$35,900.00",
1336,Lone Star Truck College,TX,Spring / HOU,Lorie,Qualls,281-765-7750,"$38,700.00",
1337,Lufkin Truck Driving Academy,TX,Lufkin,Kim,Null,936-639-4660,"$39,000.00",
1338,Mesilla Valley Training Institute,TX,Canutillo / ELP,Cindy,Loera,915-877-6090,"$36,000.00",
1339,Midland College Truck Driving School,TX,Midland,Bryan,Null,432-681-6317,"$38,200.00",
1340,North Texas Institute (NTI),TX,Fort Worth,Curtercia,Null,817-332-7866,"$36,300.00",
1341,Sage Truck Driving School,TX,China Grove / San Antonio,Monica,Null,210-826-7066,"$35,000.00",
1342,San Jacinto College,TX,Pasadena,John,Null,281-476-1886,"$35,300.00",
1343,TDI,TX,Dallas,Sherry,Hart,615-895-2070,"$37,600.00",
1344,Texas State Technical College,TX,Marshall,Tammy,Hicks,903-923-3403,"$34,700.00",
1345,Victoria College Truckdriving School,TX,Gonzales,Veronica,Garcia,830-351-3240,"$37,600.00",
1346,Victoria College Truckdriving School,TX,Victoria,Mary,Pullin,713-822-2875,"$32,800.00",
1347,Vision Truck Driving School,TX,Dallas,Rod,Franklin,800-213-0037,"$34,900.00",
1348,Advanced Technology Institute (ATI),VA,Norfolk / Virginia Beach,Tammy,Null,757-490-1241,"$36,200.00",
1349,Alliance Tractor-Trailer Training Center,VA,Wytheville,Lisa,Null,276-228-6101,"$34,700.00",
1350,Blue Ridge CC,VA,Weyers Cave,Jim,Butler,540-234-8102,"$32,900.00",
1351,CDS @ John Tyler Community College,VA,Chester,Holly,Porch,,"$34,300.00",
1352,CDS Tractor Trailer Training,VA,Woodford,Holly,Porch,540-582-8200,"$35,200.00",
1353,CDS Tractor Trailer Training,VA,Middletown,Sedrick,Terry,540-868-9740,"$33,800.00",
1354,John Tyler CC / 4cdl.com,VA,Chester / Colonial Hts.,Sean,Martin,804-796-4000,"$34,000.00",
1355,Southside Community College,VA,Blackstone,Duncan,Quick,434-292-1650,"$32,000.00",
1356,Southside Community College,VA,South Boston,Duncan,Quick,434-292-1650,"$34,800.00",
1357,Southside VA Community College,VA,Emporia,Duncan,Quick,434-292-1650,"$31,400.00",
1358,Thomas Nelson CC  ( A 4CDL.com school),VA,Hampton,Richard,Null,757-825-3861,"$30,700.00",
1359,Tidewater Community College,VA,Suffolk,Tom,Riffe,757-334-9625,"$98,100.00",
1360,Virginia Western CC / aka: CDS,VA,Roanoke,Chris,Null,540-857-8922,"$97,500.00",
1361,Virginia Western CC / aka: CDS,VA,Woodford,Holly,Null,540-582-8200,"$97,500.00",
1362,Wytheville Community College,VA,Galax,Bill,Reeves,276-223-4700,"$97,400.00",
1363,Wytheville Community College,VA,Atkins,Bill,Reeves,276-223-4700,"$96,500.00",
1364,4CDL.com - US Truck Driver Training,VA,N Chesterfield,John,Bogue,888-878-4235,"$96,300.00",
1365,5 Star CDL Training,VA,Richmond,T,Wilkins,804-447-7076,"$95,700.00",
1366,Diesel Truck Driver Training / Associated Training ,WI,Sun Prairie,Red,Holmes,608-837-7800,"$95,500.00",
1367,Eagle Training Services,WI,Kenosha,Kevin,Davis,800-247-7122,"$95,300.00",
1368,Fox Valley Technical College,WI,Appleton,Rob,Behnke,920-996-2889,"$95,000.00",
1369,Gateway Technical College,WI,Kenosha,Robin,Null,262-994-2032,"$94,800.00",
1370,Kotra CDL,WI,Kenosha,Cecilia,Rivera,262-577-5227,"$94,600.00",
1371,Lada Driver School LLC - LADA,WI,Milwaukee,Arkady,Tairlin,414-431-1387,"$94,500.00",
1372,Milwaukee Area Technical College,WI,Oak Creek,Piotr,Jalen,414-570-4412,"$94,000.00",
1373,Waukesha County Technical College,WI,Pewaukee,Mark,Hass,262-617-6275,"$93,200.00",
1374,160 Driving Academy,WI,Oak Creek,Courtney,Smith,414-269-0166,"$92,800.00",
1375,All State,WV,Kearneysville,Dawn,Joe,304-724-8999,"$92,600.00",
1376,Boone County Truck Driving ,WV,Foster,Jeff,Foster,304-855-5045,"$92,200.00",
1377,James Rumsey Technical Institute,WV,Martinsburg,Jim,Breeden,304-754-8157,"$92,200.00",
1378,Ohio Valley Truck Driver,WV,Williamstown,Carl,Null,304-375-4140,"$91,100.00",
1379,PIA Jumpstart,WV,Charleston,Jessica,Conlkin,304-766-7332,"$91,000.00",
1380,PIA Jumpstart,WV,Clarksburg,Mandy,Kooken,304-624-6666,"$91,000.00",
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
,,,,,Null,,,
